"","User","Tweet","Cluster","Lem"
"41","kurai_joker"," и тебе спасибо и ","5","  и ты спасибо и  "
"42","kurai_joker","Ямаока охренительный Мэри МакГлинн просто  концерт лучший в моей жизни не сравниваем разве что с Уотерсом","5"," ямаоко охренительный мэри макглинн просто  концерт хороший в мой жизнь не сравнивать разве что с уотерс "
"43","kurai_joker"," в субботу мало кто может вообще чот в вс с  ориентировочно попозже запилю встречу вконтактике","5","  в суббота мало кто мочь вообще чот в вс с  ориентировочно поздно запиливать встреча вконтактика "
"44","kurai_joker","  с ней мы уже договорились ага","5","   с она мы уже договариваться ага "
"45","kurai_joker","кстати тви а кто еще на Ямаоку нынче или все уже  сходили и довольны","5"," кстати тви а кто еще на ямаоко нынче или все уже  сходить и довольный "
"46","kurai_joker"," Лучше проснуться дома чем на работе  глубокомысленно изрекает  поутру","5","  хорошо просыпаться дома чем на работа  глубокомысленный изрекать  поутру "
"47","kurai_joker"," астралопитеки","5","  астралопитек "
"48","kurai_joker"," ага до вечера","5","  ага до вечер "
"49","kurai_joker"," ещё не совсем но пойду таки","5","  еще не совсем но пойти таки "
"50","kurai_joker"," в ближайшее воскр ок","5","  в близкий воскра ока "
"51","kurai_joker","ладно я почти акклиматизировалась потому что кто ещё пойдёт на Ямаоку закрывать гештальты тысячелетней давности","5"," ладно я почти акклиматизироваться потому что кто еще пойти на ямаоко закрывать гештальт тысячелетний давность "
"52","kurai_joker"," очень плюсую эту точку зрения проект не твой как справятся  не твои печали","5","  очень плюсовать этот точка зрение проект не твой как справляться  не твой печаль "
"53","kurai_joker"," нет в итоге но на какомто фесте в Питере еще  числа вроде наш народ будет но я в Кениге в это время","5","  нет в итог но на какомто фест в питер еще  число вроде наш народ быть но я в кениг в этот время "
"54","kurai_joker"," энивей оч советую сделать между ними перерыв хотя бы в неделюдве","5","  эниво оч советовать сделать между они перерыв хотя бы в неделюдва "
"55","kurai_joker"," хмм а стоит ли оно тогда","5","  хмм а стоить ли оно тогда "
"56","kurai_joker"," ооо хорошую","5","  ооо хороший "
"57","kurai_joker"," вроде нет точно в пн узнаю","5","  вроде нет точно в пн узнавать "
"58","kurai_joker"," да но я лучше сразу скажу лети без обратного билета там возьмёшь уже чтоб не как у меня ","5","  да но я хорошо сразу сказать лететь без обратный билет там взять уже чтоб не как у я  "
"59","kurai_joker"," нет потому что здесь серо сыро холодно и никакого океана но да потому что Че и все остальные но я хочу обратно со всеми","5","  нет потому что здесь серо сыро холодно и никакой океан но да потому что че и весь остальной но я хотеть обратно со весь "
"60","kurai_joker"," блин да я и думаю нахрена я вернулась вообще","5","  блин да я и думать нахрен я вернуться вообще "
"61","kurai_joker","ой всё через  часов vko","5"," ой все через  час vko "
"62","kurai_joker","невозможно просто аааа","5"," невозможно просто аааа "
"63","kurai_joker"," поздновато последние полсуток у меня не было интернета а сейчас я уже за кордонами","5","  поздновато последний полсуток у я не быть интернет а сейчас я уже за кордон "
"64","kurai_joker","мой лучший индусский друг вызвался проводить меня в аэропорт и рыдал в такси полтора часа на полном серьёзе я была близка к тому же","5"," мой хороший индусский друг вызываться проводить я в аэропорт и рыдать в такси полтора час на полный серьез я быть близкий к то же "
"65","kurai_joker"," меня раз  уже спросили не линзы ли это","5","  я раз  уже спрашивать не линза ли это "
"66","kurai_joker"," да надеюсь на это же и может и правда вернусь еще в феврале ","5","  да надеяться на это же и может и правда вернуться еще в февраль  "
"67","kurai_joker"," да я уже в субботу дома эх неохота уезжать совсеееем","5","  да я уже в суббота дома эх неохота уезжать совсеееем "
"68","kurai_joker"," платок на майке майка на купальнике купальник на мне хД","5","  платок на майка майка на купальник купальник на я хД "
"69","kurai_joker"," она под платком","5","  она под платок "
"70","kurai_joker"," на это тут никто не смотрит особо на отдыхе кольцо не очень ок носить особенно если купаться","5","  на это тут никто не смотреть особо на отдых кольцо не очень ока носить особенно если купаться "
"71","kurai_joker"," ну формально нет но здесь об этом лучше не упоминать иначе начнут руки распускать такто по плану летомосенью","5","  ну формально нет но здесь об это хорошо не упоминать иначе начинать рука распускать такто по план летомосень "
"72","kurai_joker"," ага посмотрела и правда есть чтото","5","  ага посмотреть и правда быть чтото "
"73","kurai_joker"," я тут когда говорю что мне  и я замужем все делают круглые глаза и говорят что максимум  не ври","5","  я тут когда говорить что я  и я замужем все делать круглый глаз и говорить что максимум  не врать "
"74","kurai_joker"," ну мне  тащемта но да по сравнению с  это почти подросточек","5","  ну я  тащемт но да по сравнение с  это почти подросточек "
"75","kurai_joker"," куркуркурлы","5","  куркуркурл "
"76","kurai_joker"," это оно ","5","  это оно  "
"77","kurai_joker"," не смотрела это которая","5","  не смотреть это который "
"78","kurai_joker","также уйёлки как я привыкла к местным закатам когда солнце закатывается в дымку над морем ","5"," также уйелки как я привыкать к местный закат когда солнце закатываться в дымка над море  "
"79","kurai_joker","раз уж у меня опять нет фоток меня так хоть селфач на разбитую камеру","5"," раз уж у я опять нет фотка я так хоть селфач на разбитый камера "
"80","kurai_joker","привет ","5"," привет  "
"81","kurai_joker"," Считай это трейлером и возвращайся хотя бы в феврале  поддерживает его босс
ох как бы я хотела","5","  считать это трейлер и возвращаться хотя бы в февраль  поддерживать он босс"
"82","kurai_joker"," Ладно  говорит мой лучший индусский друг он же звезда отзывов на трипэдвайзоре  Раз ты скоро уезжаешь далеко не поедем","5","  ладно  говорить мой хороший индусский друг он же звезда отзыв на трипэдвайзор  раз ты скоро уезжать далеко не поехать "
"83","kurai_joker"," йай","5","  йайя "
"84","kurai_joker"," нам и  я еще недели две назад отправила","5","  мы и  я еще неделя два назад отправлять "
"85","kurai_joker","а кстати кому открытку давайте адреса в дм","5"," а кстати кто открытка давать адрес в дм "
"86","kurai_joker"," я ооооочень светлая по местным меркам совсем мало бывала на солнце за месяц тут люди до шоколадного загорают голубоглазые тоже","5","  я ооооочень светлый по местный мерка совсем мало бывать на солнце за месяц тут человек до шоколадный загорать голубоглазый тоже "
"87","kurai_joker"," но там всё прямым текстом  у меня наконец было полтора выходных дня и я полетала ","5","  но там все прямой текст  у я наконец быть полтора выходной день и я полетать  "
"88","kurai_joker"," сушняк и очень не хочется уезжать ","5","  сушняк и очень не хотеться уезжать  "
"89","kurai_joker","утешаю себя тем что теперь хотя бы знаю что везти с собой","5"," утешать себя то что теперь хотя бы знать что везти с себя "
"90","kurai_joker","протестировала вчера кажется всю местную выпивку теперь сижу красивая с двумя хвостиками и пытаюсь не палиться ","5"," протестировать вчера кажется весь местный выпивка теперь сидеть красивый с два хвостик и пытаться не палиться  "
"91","kurai_joker","вообще сегодня был экспресскурс пойми откуда берутся самые упоротые сюжеты на свете вот прямо отсюда
и мэджик вотэр тут не главное","5"," вообще сегодня быть экспресскурс понимать откуда браться самый упороть сюжет на свет вот прямо отсюда"
"92","kurai_joker","не научила красавчикаиндуса плохим русским словам но всё равно узнала многое об обороте наркотиков на территории Гоа","5"," не научать красавчикаиндус плохой русский слово но все равный узнавать многое об оборот наркотик на территория гоа "
"93","kurai_joker"," думаем  мы в Кёниге дальше будет видно ","5","  думать  мы в кениг далеко быть видно  "
"94","kurai_joker"," шавермы вы же ещё в Питере мы в декабре приедем","5","  шаверма вы же еще в питер мы в декабрь приезжать "
"95","kurai_joker"," конечно я про нее заранее напишу ","5","  конечно я про она заранее написать  "
"96","kurai_joker"," да я поняла уже тут не супер с интернетом но чтото гуглится  буду на сансете  подойду","5","  да я понимать уже тут не супер с интернет но чтото гуглиться  быть на сансет  подходить "
"97","kurai_joker"," ого и да всё ближе чем кажется и спасибо за наводку конечно они тут волшебно играют но я не думала что группа прямо","5","  ого и да все близко чем кажется и спасибо за наводка конечно они тут волшебно играть но я не думать что группа прямо "
"98","kurai_joker"," ничего себе так это чувак с хэнгдрамом он тут на закате чуть ли не каждый вечер зажигает","5","  ничего себя так это чувак с хэнгдрам он тут на закат чуть ли не каждый вечер зажигать "
"99","kurai_joker"," аааа я мимо этих скал каждый день хожу Оо 
окей","5","  аааа я мимо этот скала каждый день ходить Оо "
"100","katab_asia","Новый текст на Эзотерритории Оккультуры PR и Пламя  ","8"," новый текст на эзотерритория оккультура PR и пламень   "
"101","katab_asia","Новый текст на Эзотерритории Оккультуры Штокхаузен запечатленный свет  ","8"," новый текст на эзотерритория оккультура штокхаузен запечатлевать свет   "
"102","katab_asia","Новый текст на Эзотерритории Оккультуры Звезда бессмыслицы Потец как мистерияпантомима  ","8"," новый текст на эзотерритория оккультура звезда бессмыслица потец как мистерияпантомима   "
"103","katab_asia","Хей конфидентаны у нас наконецто открыт сезон распродаж новых УБИКОВ то есть простите КАТАБАЗИНОВ ","8"," хей конфидентан у мы наконецто открывать сезон распродажа новый убик то быть прощать катабазин  "
"104","katab_asia","Новый текст на Эзотерритории Оккультуры Несколько слов о Шестидесятизначнике Мейчена Кристофер Джозифф  ","8"," новый текст на эзотерритория оккультура несколько слово о шестидесятизначник мейчен кристофер джозифф   "
"105","katab_asia","Новый текст на Эзотерритории Оккультуры Neurocomics перевод к летию Тимоти Лири  ","8"," новый текст на эзотерритория оккультура Neurocomics перевод к летие тимоти лирь   "
"106","katab_asia","Новый текст на Эзотерритории Оккультуры Деконструкция карты неведомой территории  ","8"," новый текст на эзотерритория оккультура деконструкция карта неведомый территория   "
"107","katab_asia","Новый текст на Эзотерритории Оккультуры Магия Защищает Себя amp Осколочный Тест  ","8"," новый текст на эзотерритория оккультура магия защищать себя amp осколочный тест   "
"108","katab_asia","Новый текст на Эзотерритории Оккультуры Лавкрафт пал в Безумие или это Бездумие  ","8"," новый текст на эзотерритория оккультура лавкрафт пасть в безумие или это бездумие   "
"109","katab_asia","Новый текст на Эзотерритории Оккультуры Сны Шестого Разума MicroGoethia Permutated  ","8"," новый текст на эзотерритория оккультура сон шестой разум MicroGoethia Permutated   "
"110","katab_asia","Новый текст на Эзотерритории Оккультуры Кроссворд Гностический    ","8"," новый текст на эзотерритория оккультура кроссворд гностический     "
"111","katab_asia","Новый текст на Эзотерритории Оккультуры Человек андроид и машина Филип Дик  ","8"," новый текст на эзотерритория оккультура человек андроид и машина филип дик   "
"112","katab_asia","Новый текст на Эзотерритории Оккультуры Тотальность как иллюзия  ","8"," новый текст на эзотерритория оккультура тотальность как иллюзия   "
"113","katab_asia","Новый текст на Эзотерритории Оккультуры Рябь трипрепорт MXE или прогулки по изнаночному Томску  ","8"," новый текст на эзотерритория оккультура рябь трипрепорт MXE или прогулка по изнаночный томск   "
"114","katab_asia","Новый текст на Эзотерритории Оккультуры Бесконечность за пятилетку  ","8"," новый текст на эзотерритория оккультура бесконечность за пятилетка   "
"115","katab_asia","У нас тут ПЯТИЛЕТИЕ и коекакие кадровые подвижки дорогие конфиденты ","8"," у мы тут пятилетие и коекакий кадровый подвижка дорогой конфидент  "
"116","katab_asia","Новый текст на Эзотерритории Оккультуры Осеннее Равноденствие Isorropia IVДевятая Минута  ","8"," новый текст на эзотерритория оккультура осенний равноденствие Isorropia IVДевятая минута   "
"117","katab_asia","не читать ебаную блогосферу и ссаные новости не читать и не писать в твиттер читать книги и делать дела такова моя командирская зарука","8"," не читать ебаный блогосфера и ссаный новость не читать и не писать в твиттер читать книга и делать дело таков мой командирский зарук "
"118","katab_asia","Хакерская группа с Путиным на иконке заблокировала крупнейшие торренты страны  волшебство перевернутого мира","8"," хакерский группа с путин на иконка заблокировать крупный торрент страна  волшебство перевертывать мир "
"119","katab_asia","новый Thighpaulsandra ","8"," новый Thighpaulsandra  "
"120","katab_asia","всё будет охуенно","8"," все быть охуенно "
"121","katab_asia","Новый текст на Эзотерритории Оккультуры К Апокалипсису и далее Моя Великая Смерть Масодова  ","8"," новый текст на эзотерритория оккультура к апокалипсис и далее мой великий смерть масодовый   "
"122","katab_asia","Новый текст на Эзотерритории Оккультуры Жрецы  ","8"," новый текст на эзотерритория оккультура жрец   "
"123","katab_asia","Новый текст на Эзотерритории Оккультуры Метафизика пространства сна или зачем верить тому что нам приснилось  ","8"," новый текст на эзотерритория оккультура метафизика пространство сон или зачем верить то что мы присниться   "
"124","katab_asia","Новый текст на Эзотерритории Оккультуры Записки из зловещей долины Vol  ","8"," новый текст на эзотерритория оккультура записка из зловещий долина Vol   "
"125","katab_asia","Новый текст на Эзотерритории Оккультуры Celebration of the Diversity an interview with Orryelle Defenestrate   ","8"," новый текст на эзотерритория оккультура Celebration of the Diversity an interview with Orryelle Defenestrate    "
"126","katab_asia","Новый текст на Эзотерритории Оккультуры Дистанция и ее производные  ","8"," новый текст на эзотерритория оккультура дистанция и ее производный   "
"127","katab_asia","Новый текст на Эзотерритории Оккультуры Празднество многообразия интервью с Орриэлем Баскулом  ","8"," новый текст на эзотерритория оккультура празднество многообразие интервью с орриэль баскул   "
"128","katab_asia","Новый текст на Эзотерритории Оккультуры Сенобиты сознания и лангольеры Хроноса  ","8"," новый текст на эзотерритория оккультура сенобит сознание и лангольера хронос   "
"129","katab_asia","Новый текст на Эзотерритории Оккультуры Как стать крутым оголтелым магом по версии Стрелка vol   ","8"," новый текст на эзотерритория оккультура как становиться крутой оголтелый маг по версия стрелка vol    "
"130","katab_asia","Новый текст на Эзотерритории Оккультуры Проникая на тысяче крыльев звуки как двери Вселенной  ","8"," новый текст на эзотерритория оккультура проникать на тысяча крыло звук как дверь вселенная   "
"131","katab_asia","Новый текст на Эзотерритории Оккультуры Дети адмирала Шульгина интервью с представителями теневой психофармак   ","8"," новый текст на эзотерритория оккультура ребенок адмирал шульгин интервью с представитель теневой психофармак    "
"132","katab_asia","Новый текст на Эзотерритории Оккультуры Выбор Онтологического Терроризма Свобода и Контроль в комиксах Гранта   ","8"," новый текст на эзотерритория оккультура выбор онтологический терроризм свобода и контроль в комикс грант    "
"133","katab_asia","Новый текст на Эзотерритории Оккультуры Гебо Вторая фаза     ","8"," новый текст на эзотерритория оккультура гебо второй фаза      "
"134","katab_asia","Новый текст на Эзотерритории Оккультуры Мрачный гений Суэхиро Маруо  ","8"," новый текст на эзотерритория оккультура мрачный гений суэхиро маруо   "
"135","katab_asia","Новый текст на Эзотерритории Оккультуры KTBS Neuralgol  We Are Not Here  ","8"," новый текст на эзотерритория оккультура KTBS Neuralgol  We Are Not Here   "
"136","katab_asia","Новый текст на Эзотерритории Оккультуры KTBS Dara de Morte  Kimbanda Possession vol   ","8"," новый текст на эзотерритория оккультура KTBS Dara de Morte  Kimbanda Possession vol    "
"137","katab_asia","Новый текст на Эзотерритории Оккультуры The most beautiful dream and the most terrible nightmare  ","8"," новый текст на эзотерритория оккультура The most beautiful dream and the most terrible nightmare   "
"138","katab_asia","Новый текст на Эзотерритории Оккультуры Психическая гигиена информационный метаболизм и книжки Перлза  ","8"," новый текст на эзотерритория оккультура психический гигиена информационный метаболизм и книжка перлз   "
"139","katab_asia","Новый текст на Эзотерритории Оккультуры фашизм  ","8"," новый текст на эзотерритория оккультура фашизм   "
"140","katab_asia","Новый текст на Эзотерритории Оккультуры No expectation no attachment no judgement an interview with   ","8"," новый текст на эзотерритория оккультура No expectation no attachment no judgement an interview with    "
"141","katab_asia","Новый текст на Эзотерритории Оккультуры По странному пути эзотехнического подполья Прибалтики  ","8"," новый текст на эзотерритория оккультура по странный путь эзотехнический подполье прибалтика   "
"142","katab_asia","Новый текст на Эзотерритории Оккультуры The Enochian Apocalypse  ","8"," новый текст на эзотерритория оккультура The Enochian Apocalypse   "
"143","katab_asia","Новый текст на Эзотерритории Оккультуры Священноиерей и пмизм культурологическое эссе с сюрпризом  ","8"," новый текст на эзотерритория оккультура священноиерей и пмизм культурологический эссе с сюрприз   "
"144","katab_asia","Новый текст на Эзотерритории Оккультуры Плечи или криптоктеис Стивена Кинга  ","8"," новый текст на эзотерритория оккультура плечо или криптоктеис стивен кинг   "
"145","katab_asia","Новый текст на Эзотерритории Оккультуры ТРУМ ГУДЯЩИЙ УМ интервью с Troum  ","8"," новый текст на эзотерритория оккультура трум гудеть ум интервью с Troum   "
"146","katab_asia","Новый текст на Эзотерритории Оккультуры Непозволительно так обращаться со стариками Шесть вариантов победы н   ","8"," новый текст на эзотерритория оккультура непозволительный так обращаться со старик шесть вариант победа н    "
"147","katab_asia","Новый текст на Эзотерритории Оккультуры Я видел DMTэльфов они не чушь или Зеленый Лик  ","8"," новый текст на эзотерритория оккультура я видеть DMTэльфов они не чушь или зеленый лик   "
"148","katab_asia","Новый текст на Эзотерритории Оккультуры Почему DMTэльфы и параллельные миры  чушь  ","8"," новый текст на эзотерритория оккультура почему DMTэльфы и параллельный мир  чушь   "
"149","katab_asia","Новый текст на Эзотерритории Оккультуры Золотая игла ЛСДгнозиса  ","8"," новый текст на эзотерритория оккультура золотой игла лсдгнозис   "
"150","katab_asia","Новый текст на Эзотерритории Оккультуры Альманах Эти забавные торчки  ","8"," новый текст на эзотерритория оккультура альманах этот забавный торчок   "
"151","katab_asia","Новый текст на Эзотерритории Оккультуры Интервью с Химиком  ","8"," новый текст на эзотерритория оккультура интервью с химик   "
"152","katab_asia","Новый текст на Эзотерритории Оккультуры Мавры святой Ирландии всем пора учить баскский перевод интервью с Ха   ","8"," новый текст на эзотерритория оккультура мавр святой ирландия все пора учить баскский перевод интервью с ха    "
"153","katab_asia","Новый текст на Эзотерритории Оккультуры Электронная революция УС Берроуза перевод  ","8"," новый текст на эзотерритория оккультура электронный революция ус берроуз перевод   "
"154","katab_asia","Новый текст на Эзотерритории Оккультуры Карма велогонщика беседа с представителями теневой психофармакологии    ","8"," новый текст на эзотерритория оккультура карма велогонщик беседа с представитель теневой психофармакология     "
"155","katab_asia","Новый текст на Эзотерритории Оккультуры Замедлись техно ты прекрасно интервью с основателями somatiktechno   ","8"," новый текст на эзотерритория оккультура замедляться техно ты прекрасно интервью с основатель somatiktechno    "
"156","katab_asia","Новый текст на Эзотерритории Оккультуры Тот у кого есть посох интервью с Alexandre Gand  ","8"," новый текст на эзотерритория оккультура тот у кто быть посох интервью с Alexandre Gand   "
"157","katab_asia","Тем временем на КАТАБАЗИИ  аналитический текст про культовую франшизу Hellraiser  Боль восторг и Coil","8"," тот время на катабазия  аналитический текст про культовый франшиза Hellraiser  боль восторг и Coil "
"158","katab_asia","До кого там не дошёл катабазин  в печатном платном виде  тот может ознакомиться с ним в бесплатном цифровом ","8"," до кто там не доходить катабазин  в печатный платный вид  тот мочь ознакомляться с он в бесплатный цифровой  "
"159","katab_asia","Скоро будем веселиться","8"," скоро быть веселиться "
"160","katab_asia","Ебаная кросспостилка вконтакте потоянно ИДЁТ НА СВЕТ","8"," ебаный кросспостилка вконтакте потоянно идти на свет "
"161","katab_asia","Крайне необычно снятый проективный инструмент для исследования собственного сознания подсказал наш читатель Антон ","8"," крайне необычно снимать проективный инструмент для исследование собственный сознание подсказывать наш читатель антон  "
